,Zip Code,Year,Median Income (dollars)
773,75217,2014,35187.416666666664
774,75217,2015,34417.208333333336
775,75217,2016,33037.458333333336
776,75218,2011,64809.0
777,75218,2012,65658.33333333333
778,75218,2013,65938.25
779,75218,2014,68954.04166666667
780,75218,2015,70873.70833333333
781,75218,2016,71377.875
782,75219,2011,56683.0
783,75219,2012,57158.041666666664
784,75219,2013,58692.083333333336
785,75219,2014,60232.833333333336
786,75219,2015,61451.833333333336
787,75219,2016,64109.166666666664
788,75220,2011,35494.0
789,75220,2012,35247.0
790,75220,2013,35465.375
791,75220,2014,37344.20833333333
792,75220,2015,39296.95833333333
793,75220,2016,40244.875
794,75223,2011,34835.0
795,75223,2012,34229.958333333336
796,75223,2013,34926.458333333336
797,75223,2014,36088.20833333333
798,75223,2015,36410.20833333333
799,75223,2016,37253.041666666664
800,75224,2011,31300.0
801,75224,2012,32130.916666666668
802,75224,2013,33373.5
803,75224,2014,34242.75
804,75224,2015,35109.291666666664
805,75224,2016,36079.45833333333
806,75225,2011,127143.0
807,75225,2012,134753.41666666666
808,75225,2013,144421.33333333334
809,75225,2014,152038.83333333334
810,75225,2015,153894.75
811,75225,2016,155461.29166666666
812,75226,2011,36617.0
813,75226,2012,38315.666666666664
814,75226,2013,41386.125
815,75226,2014,44985.041666666664
816,75226,2015,48961.583333333336
817,75226,2016,51247.083333333336
818,75227,2011,37395.0
819,75227,2012,36905.33333333333
820,75227,2013,37156.70833333333
821,75227,2014,37980.541666666664
822,75227,2015,37547.20833333333
823,75227,2016,36753.5
824,75228,2011,37242.0
825,75228,2012,37021.0
826,75228,2013,36530.666666666664
827,75228,2014,36544.291666666664
828,75228,2015,36601.83333333333
829,75228,2016,37285.20833333333
830,75229,2011,69466.0
831,75229,2012,69878.20833333333
832,75229,2013,70442.58333333333
833,75229,2014,72601.54166666667
834,75229,2015,76728.83333333333
835,75229,2016,81742.375
836,75230,2011,67321.0
837,75230,2012,67538.75
838,75230,2013,68340.5
839,75230,2014,68952.375
840,75230,2015,69496.54166666667
841,75230,2016,73448.5
842,75231,2011,33659.0
843,75231,2012,33585.875
844,75231,2013,33535.916666666664
845,75231,2014,32714.541666666668
846,75231,2015,31946.0
847,75231,2016,32922.333333333336
848,75232,2011,41012.0
849,75232,2012,39444.95833333333
850,75232,2013,37114.75
851,75232,2014,35819.75
852,75232,2015,34718.25
853,75232,2016,34621.75
854,75233,2011,41836.0
855,75233,2012,41768.291666666664
856,75233,2013,40866.0
857,75233,2014,39622.33333333333
858,75233,2015,39115.95833333333
859,75233,2016,41140.041666666664
860,75234,2011,55222.0
861,75234,2012,54741.541666666664
862,75234,2013,53777.083333333336
863,75234,2014,54255.625
864,75234,2015,55879.541666666664
865,75234,2016,57212.708333333336
866,75235,2011,41066.0
867,75235,2012,40038.45833333333
868,75235,2013,38281.20833333333
869,75235,2014,39189.125
870,75235,2015,42774.291666666664
871,75235,2016,45453.083333333336
872,75236,2011,31511.0
873,75236,2012,32868.958333333336
874,75236,2013,35982.625
875,75236,2014,38058.291666666664
876,75236,2015,38812.625
877,75236,2016,39804.45833333333
878,75237,2011,27693.0
879,75237,2012,28311.583333333332
880,75237,2013,29350.666666666668
881,75237,2014,29755.041666666668
882,75237,2015,28652.25
883,75237,2016,27986.291666666668
884,75238,2011,55596.0
885,75238,2012,54835.5
886,75238,2013,53426.625
887,75238,2014,52650.625
888,75238,2015,52160.666666666664
889,75238,2016,53785.833333333336
890,75240,2011,35431.0
891,75240,2012,36276.541666666664
892,75240,2013,37047.791666666664
893,75240,2014,36771.625
894,75240,2015,36935.666666666664
895,75240,2016,38084.375
896,75241,2011,29975.0
897,75241,2012,29390.541666666668
898,75241,2013,29965.25
899,75241,2014,31621.833333333332
900,75241,2015,32920.458333333336
901,75241,2016,33359.125
